,teams,home_wins,away_wins,all_wins,draws,losses,number_of_matches,avg_score,wins_percent_weighted,tier_score
220,São Tomé and Príncipe,1,1,2,0,7,9,1.3333333333333333,0.007081038552321007,0.00944138473642801
221,Tahiti,1,2,3,2,4,9,2.0,0.01062155782848151,0.02124311565696302
222,Tajikistan,3,3,6,2,13,21,1.380952380952381,0.04956726986624705,0.06845003933910307
223,Tamil Eelam,1,0,1,0,5,6,1.3333333333333333,0.0023603461841070024,0.003147128245476003
224,Tanzania,5,1,6,7,11,24,1.25,0.05664830841856806,0.07081038552321008
225,Thailand,4,4,8,8,6,22,1.5909090909090908,0.06923682140047206,0.1101494885916601
226,Tibet,0,0,0,1,4,5,1.0,0.0,0.0
227,Timor-Leste,1,0,1,1,7,9,1.3333333333333333,0.0035405192761605035,0.004720692368214005
228,Togo,3,0,3,9,5,17,1.2352941176470589,0.02006294256490952,0.024783634933123525
229,Tonga,0,0,0,0,3,3,1.0,0.0,0.0
230,Trinidad and Tobago,3,1,4,5,13,22,1.4545454545454546,0.03461841070023603,0.05035405192761604
231,Tunisia,9,6,15,8,9,32,1.5625,0.1888276947285602,0.2950432730133753
232,Turkey,9,5,14,14,6,34,1.7058823529411764,0.1872541306058222,0.3194335169158143
233,Turkmenistan,2,2,4,2,6,12,1.4166666666666667,0.01888276947285602,0.02675059008654603
234,Turks and Caicos Islands,2,1,3,1,8,12,1.5,0.014162077104642014,0.021243115656963022
235,Tuvalu,0,0,0,1,9,10,1.2,0.0,0.0
236,U.S. Virgin Islands,0,2,2,0,10,12,1.25,0.00944138473642801,0.011801730920535013
237,Uganda,5,5,10,11,8,29,1.3448275862068966,0.1140833988985051,0.15342250196695514
238,Ukraine,10,4,14,10,7,31,1.4838709677419355,0.17073170731707318,0.25334382376081827
239,United Arab Emirates,10,4,14,9,10,33,1.606060606060606,0.18174665617623917,0.29189614476789927
240,United Koreans in Japan,1,0,1,4,1,6,1.3333333333333333,0.0023603461841070024,0.003147128245476003
241,United States,18,2,20,6,10,36,1.8333333333333333,0.28324154209284025,0.5192761605035404
242,Uruguay,8,8,16,5,7,28,1.75,0.17623918174665618,0.3084185680566483
243,Uzbekistan,8,4,12,6,12,30,1.6,0.14162077104642015,0.22659323367427225
244,Vanuatu,1,2,3,2,4,9,3.2222222222222223,0.01062155782848151,0.03422501966955153
245,Venezuela,3,5,8,6,7,21,1.619047619047619,0.06608969315499606,0.1070023603461841
246,Vietnam,7,4,11,7,3,21,1.6666666666666667,0.09087332808811958,0.15145554681353265
247,Wales,11,5,16,5,9,30,1.3333333333333333,0.18882769472856017,0.2517702596380802
248,Western Armenia,1,3,4,3,4,11,1.9090909090909092,0.017309205350118016,0.03304484657749803
249,Western Isles,1,0,1,0,3,4,1.25,0.0015735641227380016,0.001966955153422502
250,Yemen,2,0,2,3,10,15,1.2,0.011801730920535011,0.014162077104642012
251,Ynys Môn,6,0,6,0,0,6,2.1666666666666665,0.014162077104642014,0.030684500393391028
252,Yorkshire,4,1,5,1,1,7,2.857142857142857,0.013768686073957512,0.03933910306845004
253,Zambia,6,8,14,11,8,33,1.4848484848484849,0.18174665617623917,0.26986624704956724
254,Zimbabwe,5,3,8,13,5,26,1.4615384615384615,0.08182533438237607,0.1195908733280881
